,Sector,In-Degree,In-Degree pvalue,First-Order Degree,First-Order Degree pvalue,Betweenness centrality,Betweenness centrality pvalue,Eigenvector centrality,Eigenvector centrality pvalue
0,D,0.614,0.008,0.645,0.003,-0.484,0.028,-0.794,<0.001
1,C19,0.057,0.815,0.252,0.284,0.770,<0.001,-0.445,0.056
2,C24,0.671,0.002,0.398,0.081,-0.644,0.006,-0.120,0.607
3,C23,0.740,<0.001,0.797,<0.001,0.551,0.012,-0.917,<0.001
4,B05_06,0.890,<0.001,0.670,0.001,-0.537,0.016,-0.643,0.005
5,C20,0.822,<0.001,0.889,<0.001,,<0.001,0.701,<0.001
6,H49,0.800,<0.001,0.848,<0.001,-0.743,0.001,-0.800,<0.001
7,F,0.805,<0.001,0.780,<0.001,,<0.001,-0.799,<0.001
8,B07_08,0.702,<0.001,0.542,0.022,-0.688,0.002,-0.308,0.193
9,H50,0.955,<0.001,0.946,<0.001,,<0.001,-0.760,<0.001
10,H51,0.904,<0.001,0.861,<0.001,-0.933,<0.001,-0.736,<0.001
11,E,0.743,<0.001,0.586,0.007,0.560,0.012,-0.785,<0.001
